,initial_possession
Adrián,0
Georginio Wijnaldum,20
Mohamed Salah,0
Leighton Clarkson,0
Alisson Becker,23
Caoimhín Kelleher,0
Liam Hughes,0
Fabinho,15
Takumi Minamino,1
Andy Robertson,32
Billy Koumetio,0
Joe Gomez,0
Ben Davies,0
Kostas Tsimikas,0
Curtis Jones,24
Joël Matip,26
Virgil van Dijk,0
Ben Woodburn,0
Xherdan Shaqiri,0
Ozan Kabak,0
Neco Williams,14
Roberto Firmino,25
Sadio Mané,24
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,16
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,0
Diogo Jota,23
Alex Oxlade-Chamberlain,0
Jake Cain,0
James Milner,46
Jakub Ojrzynski,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
